Date,Close,Open,High,Low
2021/8/3,4423.15,4392.74,4423.79,4373.00 
2021/8/2,4387.11,4406.86,4422.18,4384.81 
2021/7/30,4395.26,4395.12,4412.25,4389.65 
2021/7/29,4419.15,4403.59,4429.97,4403.59 
2021/7/28,4400.65,4402.95,4415.47,4387.01 
2021/7/27,4401.46,4416.38,4416.38,4372.51 
2021/7/26,4422.23,4409.58,4422.73,4405.45 
2021/7/23,4411.80,4381.20,4415.18,4381.20 
2021/7/22,4367.48,4361.27,4369.31,4350.06 
2021/7/21,4358.69,4331.13,4359.70,4331.13 
2021/7/20,4323.21,4265.11,4336.84,4262.05 
2021/7/19,4258.63,4296.40,4296.40,4233.13 
2021/7/16,4327.16,4367.43,4375.09,4322.53 
2021/7/15,4360.03,4369.02,4369.02,4340.70 
2021/7/14,4374.30,4380.11,4393.68,4362.36 
2021/7/13,4369.21,4381.07,4392.37,4366.92 
2021/7/12,4384.63,4372.41,4386.68,4364.03 
2021/7/9,4369.55,4329.38,4371.60,4329.38 
2021/7/8,4320.82,4321.07,4330.88,4289.37 
2021/7/7,4358.13,4351.01,4361.88,4329.79 
2021/7/6,4343.54,4356.46,4356.46,4314.37 
2021/7/2,4352.34,4326.60,4355.43,4326.60 
2021/7/1,4319.94,4300.73,4320.66,4300.73 
2021/6/30,4297.50,4290.65,4302.43,4287.96 
2021/6/29,4291.80,4293.21,4300.52,4287.04 
2021/6/28,4290.61,4284.90,4292.14,4274.67 
2021/6/25,4280.70,4274.45,4286.12,4271.16 
2021/6/24,4266.49,4256.97,4271.28,4256.97 
2021/6/23,4241.84,4249.27,4256.60,4241.43 
2021/6/22,4246.44,4224.61,4255.84,4217.27 
2021/6/21,4224.79,4173.40,4226.24,4173.40 
2021/6/18,4166.45,4204.78,4204.78,4164.40 
2021/6/17,4221.86,4220.37,4232.29,4196.05 
2021/6/16,4223.70,4248.87,4251.89,4202.45 
2021/6/15,4246.59,4255.28,4257.16,4238.35 
2021/6/14,4255.15,4248.31,4255.59,4234.07 
2021/6/11,4247.44,4242.90,4248.38,4232.25 
2021/6/10,4239.18,4228.56,4249.74,4220.34 
2021/6/9,4219.55,4232.99,4237.09,4218.74 
2021/6/8,4227.26,4233.81,4236.74,4208.41 
2021/6/7,4226.52,4229.34,4232.34,4215.66 
2021/6/4,4229.89,4206.05,4233.45,4206.05 
2021/6/3,4192.85,4191.43,4204.39,4167.93 
2021/6/2,4208.12,4206.82,4217.37,4198.27 
2021/6/1,4202.04,4216.52,4234.12,4197.59 
2021/5/28,4204.11,4210.77,4218.36,4203.57 
2021/5/27,4200.88,4201.94,4213.38,4197.78 
2021/5/26,4195.99,4191.59,4202.61,4184.11 
2021/5/25,4188.13,4205.94,4213.42,4182.52 
2021/5/24,4197.05,4170.16,4209.52,4170.16 
2021/5/21,4155.86,4168.61,4188.72,4151.72 
2021/5/20,4159.12,4121.97,4172.80,4121.97 
2021/5/19,4115.68,4098.45,4116.93,4061.41 
2021/5/18,4127.83,4165.94,4169.15,4125.99 
2021/5/17,4163.29,4169.92,4171.92,4142.69 
2021/5/14,4173.85,4129.58,4183.13,4129.58 
2021/5/13,4112.50,4074.99,4131.58,4074.99 
2021/5/12,4063.04,4130.55,4134.73,4056.88 
2021/5/11,4152.10,4150.34,4162.04,4111.53 
2021/5/10,4188.43,4228.29,4236.39,4188.13 
2021/5/7,4232.60,4210.34,4238.04,4201.64 
2021/5/6,4201.62,4169.14,4202.70,4147.33 
2021/5/5,4167.59,4177.06,4187.72,4160.94 
2021/5/4,4164.66,4179.04,4179.04,4128.59 
2021/5/3,4192.66,4191.98,4209.39,4188.03 
2021/4/30,4181.17,4198.10,4198.10,4174.85 
2021/4/29,4211.47,4206.14,4218.78,4176.81 
2021/4/28,4183.18,4185.14,4201.53,4181.78 
2021/4/27,4186.72,4188.25,4193.35,4176.22 
2021/4/26,4187.62,4185.03,4194.19,4182.36 
2021/4/23,4180.17,4138.78,4194.17,4138.78 
2021/4/22,4134.98,4170.46,4179.57,4123.69 
2021/4/21,4173.42,4128.42,4175.02,4126.35 
2021/4/20,4134.94,4159.18,4159.18,4118.38 
2021/4/19,4163.26,4179.80,4180.81,4150.47 
2021/4/16,4185.47,4174.14,4191.31,4170.75 
2021/4/15,4170.42,4139.76,4173.49,4139.76 
2021/4/14,4124.66,4141.58,4151.69,4120.87 
2021/4/13,4141.59,4130.10,4148.00,4124.43 
2021/4/12,4127.99,4124.71,4131.76,4114.82 
2021/4/9,4128.80,4096.11,4129.48,4095.51 
2021/4/8,4097.17,4089.95,4098.19,4082.54 
2021/4/7,4079.95,4074.29,4083.13,4068.31 
